,token
rule,96
player,94
chess,76
piece,71
game,68
king,61
square,56
time,55
pawn,40
wa,31
fide,28
position,28
's,27
clock,25
rook,24
white,23
check,22
queen,22
board,22
draw,20
opponent,20
law,17
bishop,17
century,17
isbn,16
castling,16
illegal,15
black,14
standard,14
knight,14
published,13
schiller,13
used,13
arbiter,12
control,12
play,12
legal,12
win,11
placed,11
right,10
moving,10
called,10
rank,10
color,10
capture,10
played,10
different,10
tournament,10
2014,10
flag,9
uscf,9
hand,9
checkmate,9
just,9
new,9
official,9
end,9
make,8
captured,8
vacant,8
promoted,8
moved,8
promotion,8
fall,8
repetition,8
stated,8
minute,8
condition,7
set,7
dead,7
davidson,7
increment,7
staunton,7
number,7
diagonally,7
passant,7
history,7
edition,7
en,7
left,7
ed,7
diagram,6
added,6
known,6
competition,6
unless,6
possible,6
result,6
use,6
form,6
touch,6
usually,6
notation,6
defined,6
following,6
movement,6
19th,6
case,6
type,5
hooper,5
offer,5
example,5
writing,5
eighth,5
2008,5
including,5
e.g,5
drawn,5
horizontally,5
immediately,5
stalemate,5
fifty-move,5
limit,5
area,5
introduced,5
having,5
castle,5
accepted,5
start,5
intention,5
whyld,5
modern,4
digital,4
claim,4
vertically,4
rapid,4
match,4
enemy,4
starting,4
continued,4
occur,4
phone,4
size,4
mckay,4
playing,4
kenneth,4
forward,4
allowed,4
touch-move,4
required,4
took,4
current,4
chessboard,4
resigns,4
penalty,4
variation,4
resign,4
place,4
way,4
occurred,4
correct,4
sixteen,4
procedure,4
material,4
option,4
london,4
irregularity,4
applies,4
changed,4
period,4
adjacent,4
file,4
threefold,4
chess960,4
commission,4
run,4
harkness,4
outside,3
international,3
world,3
attack,3
capturing,3
recording,3
1,3
1992:220–21,3
golombek,3
reached,3
based,3
resigning,3
using,3
approximately,3
equipment,3
insufficient,3
request,3
checkmated,3
50,3
2nd,3
united,3
preferred,3
year,3
pressed,3
record,3
extra,3
previously,3
sheet,3
mm,3
completed,3
early,3
today,3
country,3
taken,3
restarted,3
mechanical,3
event,3
extended,3
height,3
handbook,3
book,3
basic,3
interpretation,3
choice,3
organization,3
jump,3
second,3
originally,3
allow,3
delay,3
iccf,3
acquired,3
press,3
computer,3
2003:19–20,3
middle,3
federation,3
le,3
version,3
discovered,3
inch,3
score,3
blitz,3
state,3
mobile,3
dark,3
loss,3
sunnucks,3
difference,3
special,3
shown,3
advance,3
plus,3
making,3
random,3
correspondence,3
specified,2
initial,2
claiming,2
truong,2
arabic,2
vertical,2
3,2
jacob,2
consists,2
1949:59–61,2
backwards,2
complete,2
st.,2
theoretically,2
corner,2
ruch,2
inside,2
wood,2
fixed,2
regarding,2
philidor,2
40,2
paul,2
gave,2
generally,2
provided,2
informal,2
forced,2
1828,2
13th,2
fifty,2
permitted,2
16th,2
modified,2
oriented,2
adjust,2
situation,2
resignation,2
threatened,2
setup,2
necessarily,2
open,2
1949:14–17,2
certain,2
1749,2
translation,2
persian,2
possibly,2
nearest,2
age,2
language,2
universal,2
straight,2
formal,2
persisted,2
row,2
slight,2
various,2
placing,2
la,2
varied,2
note,2
online,2
20,2
otb,2
1847,2
horizontal,2
continues,2
late,2
stopped,2
short,2
proposal,2
mcdonnell,2
1836,2
queenside,2
requires,2
internationale,2
échecs,2
common,2
oxford,2
change,2
howard,2
1992,2
touched,2
available,2
flag-fall,2
italy,2
1851,2
2,2
von,2
seventy-five-move,2
1854.,2
controlling,2
recommended,2
restored,2
opposing,2
eric,2
2009,2
declaring,2
direction,2
diameter,2
2008-09-10,2
doe,2
letter,2
conduct,2
agree,2
amendment,2
identified,2
2004,2
ethic,2
arranged,2
giving,2
instance,2
burgess,2
adjournment,2
information,2
fédération,2
released,2
agreeing,2
concerning,2
1984,2
governing,2
involved,2
speak,2
removed,2
specific,2
sarratt,2
able,2
exact,2
a4,2
indicates,2
retrieved,2
cover,2
engine,2
slightly,2
setting,2
later,2
del,2
fivefold,2
applied,2
regional,2
lose,2
johann,2
polgar,2
reinfeld,2
b4,2
saying,2
harry,2
english,2
rulebooks,2
1970,2
forfeit,2
consequence,2
6th,2
method,2
named,2
timing,2
williams,2
essentially,2
hold,2
beginning,2
include,2
touching,2
pas,2
national,2
club,2
2005,2
1810–1874,1
sanction,1
1967,1
supplement,1
